birth_place,discipline,Count
EDINBURGH,Athletics,2
EDINBURGH,Curling,2
ALTOTTING,Bobsleigh,2
KEKAVA,3x3 Basketball,2
"CALGARY, AB",Athletics,2
AMILLY,Handball,2
"KELOWNA, BC",Swimming,2
AMSTERDAM,Hockey,2
EINSIEDELN,Alpine Skiing,2
ANDERLECHT,Hockey,2
LA ROMANA,Baseball/Softball,2
"LONDON, ON",Football,2
LUJAN,Hockey,2
"CAMDEN, SC",Equestrian,2
"EL PASO, TX",Athletics,2
ANNABERG - BUCHHOLZ,Cross-Country Skiing,2
"JEFFERSON CITY, MO",Basketball,2
"LAFAYETTE, LA",Athletics,2
HOLMES CHAPEL,Rowing,2
"ELMHURST, IL",Volleyball,2
ANSHAN,Freestyle Skiing,2
ANSHAN,Weightlifting,2
ANTWERP,Hockey,2
ANYANG,Short Track Speed Skating,2
ANYANG,Speed Skating,2
CANGAS,Handball,2
CANNES,Basketball,2
KERTEMINDE,Handball,2
ARAMON,Judo,2
"LAGUNA BEACH, CA",Water Polo,2
"HONG KONG, CHINA",Fencing,2
ERNAKULAM,Hockey,2
ESBJERG,Handball,2
MADRID,Water Polo,2
"HONOLULU, HI",Volleyball,2
JERUSALEM,Judo,2
JHAJJAR,Shooting,2
GUANTANAMO,Boxing,2
CASTELVETRANO,Weightlifting,2
CASTRIES,Athletics,2
"HOUSTON, TX",Baseball/Softball,2
ATHENS,Artistic Gymnastics,2
CAYENNE,Fencing,2
CEGLED,Water Polo,2
CEGLED,Wrestling,2
"ETOBICOKE, ON",Athletics,2
"HOUSTON, TX",Basketball,2
KRISTIANSAND,Handball,2
HOVMANTORP,Table Tennis,2
HRADEC KRALOVE,Tennis,2
AUCKLAND,Rowing,2
AUCKLAND,Sailing,2
CHANGSHA,Artistic Swimming,2
CHANGSHA,Diving,2
LEIDEN,Rowing,2
CHARENTON,Basketball,2
"LAKEWOOD, OH",Athletics,2
FALTICENI,Rowing,2
HUBEI,Diving,2
BAARN,Marathon Swimming,2
GUIYANG,Weightlifting,2
LOHJA,Ice Hockey,2
LEIDERDORP,Hockey,2
"GUMI, GYEONGSANGBUK-DO",Judo,2
BAD HONNEF,Bobsleigh,2
"CHATSWORTH, CA",Basketball,2
KHASAVYURT,Wrestling,2
FELDKIRCH,Alpine Skiing,2
KUALA LUMPUR,Badminton,2
FERGANA,Boxing,2
LOMAS DE ZAMORA,Hockey,2
BAERUM,Alpine Skiing,2
FES,Athletics,2
JILIN,Snowboard,2
CHENGDE,Shooting,2
JILIN,Table Tennis,2
GYUMRI,Wrestling,2
FLAWIL,Tennis,2
FLEN,Equestrian,2
JINAN,Shooting,2
HAAPSALU,Fencing,2
HACHIMANTAI,Ski Jumping,2
"CHESAPEAKE, VA",Athletics,2
FLORENCE,Swimming,2
BAODING,Diving,2
BAODING,Shooting,2
BAODING,Swimming,2
BARCELONA,Artistic Swimming,2
HAINAN,Diving,2
LEKKERKERK,Speed Skating,2
CHISINAU,Rhythmic Gymnastics,2
LEMPAALA,Ice Hockey,2
"LANSING, MI",Figure Skating,2
HVALSO,Equestrian,2
CHONGQING,Diving,2
CHONGQING,Rhythmic Gymnastics,2
KURCHATOV,Fencing,2
KIEL,Sailing,2
LAHTI,Ice Hockey,2
KIEV,Table Tennis,2
FRASCATI,Speed Skating,2
KURGAN,Fencing,2
FREDERIKSBERG,Handball,2
FREDRIKSTAD,Handball,2
HAMBURG,Hockey,2
"CINCINATTI, OH",Swimming,2
BEI'AN,Short Track Speed Skating,2
"FREMONT, NE",Volleyball,2
"CINCINNATI, OH",Football,2
"Hong Kong, China",Swimming,2
CITTA DELLA PIEVE,Shooting,2
BEIJING,Shooting,2
CITTADELLA,Swimming,2
FRIBOURG,Freestyle Skiing,2
CIUDAD REAL,Handball,2
CLAMART,Fencing,2
BELGRADE,Volleyball,2
KIRISHIMA-SHI,Judo,2
JYVASKYLA,Ice Hockey,2
CLICHY-LA-GARENNE,Judo,2
"FUJIYOSHIDA, YAMANASHI",Judo,2
COLMSCHATE,Speed Skating,2
"BENOWA, QLD",Swimming,2
FUKUI,Baseball/Softball,2
COLOMBES,Football,2
"COLORADO SPRINGS, CO",Shooting,2
"COLUMBIA, SC",Basketball,2
BERCHTESGADEN,Bobsleigh,2
FUKUOKA,Baseball/Softball,2
